cabeza,glifo,pinyin,espanol,fase_zh,fase_es,hex_kingwen,hex_glifo,hex_es,termino_solar_zh,termino_solar_es,grado_inicio,grado_fin,evento_solar,fecha_solar_nylan,tercio,familia_yinyang,fang,zhou,bu,jia
1,中,Zhōng,Centro,水,Agua,61,中孚,La Verdad Interior,冬至,Solsticio de invierno,0,4.5,Solsticio de invierno (comienzo del ciclo),December 22 December 26 (a.m.),Cielo,yang,1,1,1,1
2,周,Zhōu,Círculo Completo,火,Fuego,24,復,El Retorno,冬至,Solsticio de invierno,4.5,9,,December 26 (p. m.) December 30,Cielo,yin,1,1,1,2
3,礥,Xián,Atascado,木,Madera,3,屯,La Dificultad Inicial,小寒,Frío menor,9,13.5,,December 31 January 4 (a.m.),Cielo,yang,1,1,1,3
4,閑,Xián,Barrera,金,Metal,3,屯,La Dificultad Inicial,小寒,Frío menor,13.5,18,,January 4 (p. m.) January 8,Cielo,yin,1,1,2,1
5,少,Shǎo,Guardar lo Pequeño,土,Tierra,15,謙,La Modestia,小寒,Frío menor,18,22.5,,January 9 January 13 (a.m.),Cielo,yang,1,1,2,2
6,戾,Lì,Contrariedad,水,Agua,38,睽,El Antagonismo,大寒,Frío mayor,22.5,27,,January 13 (p.m.) January 17,Cielo,yin,1,1,2,3
7,上,Shàng,Ascenso,火,Fuego,46,升,La Subida,大寒,Frío mayor,27,31.5,,January 18 January 22 (a.m.),Cielo,yang,1,1,3,1
8,干,Gān,Oposición,木,Madera,46,升,La Subida,大寒,Frío mayor,31.5,36,,January 22 (p.m.) January 26,Cielo,yin,1,1,3,2
9,羨,Xiàn,Ramificación,金,Metal,19,臨,El Acercamiento,立春,Inicio de la primavera,36,40.5,,January 27 January 31 (a.m.),Cielo,yang,1,1,3,3
10,羡,Xiàn,Defecto / Distorsión,水,Agua,19,臨,El Acercamiento,立春,Inicio de la primavera,40.5,45,,January 31 (p. m.) February 4,Cielo,yin,1,2,1,1
11,差,Chā,Divergencia,火,Fuego,62,小過,La Preponderancia de lo Pequeño,立春,Inicio de la primavera,45,49.5,,February 5—February 9 (a.m.),Cielo,yang,1,2,1,2
12,童,Tóng,Juventud,木,Madera,4,蒙,La Necedad Juvenil,立春,Inicio de la primavera,49.5,54,,February 9 (p.m) February 13,Cielo,yin,1,2,1,3
13,増,Zēng,Aumento,金,Metal,42,益,El Aumento,雨水,Agua de lluvia,54,58.5,,February 14 February 18 (a. m.),Cielo,yang,1,2,2,1
14,銳,Ruì,Penetración,土,Tierra,53,漸,El Progreso Paulatino,雨水,Agua de lluvia,58.5,63,,February 18 (p.m.) February 22,Cielo,yin,1,2,2,2
15,達,Dá,Alcance,水,Agua,11,泰,La Paz,雨水,Agua de lluvia,63,67.5,,February 23 February 27 (a.m.),Cielo,yang,1,2,2,3
16,交,Jiāo,Contacto,火,Fuego,11,泰,La Paz,驚蟄,Despertar de los insectos,67.5,72,,February 27 (p.m.) Mar 3,Cielo,yin,1,2,3,1
17,䎡,Ruǎn,Contención,木,Madera,5,需,La Espera,驚蟄,Despertar de los insectos,72,76.5,,March 4 March 8 (a.m.),Cielo,yang,1,2,3,2
18,傒,Xī,Espera,金,Metal,5,需,La Espera,驚蟄,Despertar de los insectos,76.5,81,,March 8 (p.m.) March 12,Cielo,yin,1,2,3,3
19,從,Cóng,Seguimiento,水,Agua,17,隨,El Seguimiento,驚蟄,Despertar de los insectos,81,85.5,,March 13 March 17 (a.m.),Cielo,yang,1,3,1,1
20,進,Jìn,Avance,火,Fuego,35,晉,El Progreso,春分,Equinoccio de primavera,85.5,90,,March 17 (p.m.) March 21,Cielo,yin,1,3,1,2
21,釋,Shì,Liberación,木,Madera,40,解,La Liberación,春分,Equinoccio de primavera,90,94.5,Equinoccio de primavera (zona),March 22 March 26 (a.m.),Cielo,yang,1,3,1,3
22,格,Gé,Resistencia,金,Metal,34,大壯,El Poder de lo Grande,春分,Equinoccio de primavera,94.5,99,,March 26 (p.m.) March 30,Cielo,yin,1,3,2,1
23,夷,Yí,Holgura,土,Tierra,16,豫,El Entusiasmo,清明,Claridad pura,99,103.5,,March 31 April 4 (a.m.),Cielo,yang,1,3,2,2
24,樂,Lè,Gozo,水,Agua,16,豫,El Entusiasmo,清明,Claridad pura,103.5,108,,April 4 (p.m.) April 8,Cielo,yin,1,3,2,3
