head_n,glyph,espanol,zan_k,zan_name,zanci,ceci,fuente,espanol_apreciacion,espanol_comentario
1,中,Centro,0,首辭,陽氣潛萌於黃宮信無不在乎中,,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"El aliento yang germina oculto en el Palacio Amarillo; en verdad, nada hay que no esté en el centro.",
1,中,Centro,1,初一,昆侖旁薄幽,昆侖旁薄思諸貞也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),El caos primordial (Kūnlún) se extiende vasto y oscuro.,El caos vasto: el pensamiento se asienta en lo recto.
1,中,Centro,2,次二,神戰于玄其陳陰陽,神戰于玄善惡并也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),Los espíritus combaten en el Misterio; su formación es Yin y Yang.,Combaten en el Misterio: el bien y el mal van juntos.
1,中,Centro,3,次三,龍出于中首尾信可以為庸,龍出于中見其造也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),El dragón surge del centro; cabeza y cola son fiables: puede servir de norma.,El dragón surge del centro: se ve su obra creadora.
1,中,Centro,4,次四,庳虛無因大受性命否,庳虛之否不能大受也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"El granero está vacío, sin fundamento; ¿recibir en grande la naturaleza y el destino? No.",Granero vacío y cerrado: no puede recibir en grande.
1,中,Centro,5,次五,日正于天利以其辰作主,日正于天貴當位也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"El sol se yergue recto en el cielo; conviene, por su hora, hacerse dueño.",El sol recto en el cielo: lo noble ocupa su justo lugar.
1,中,Centro,6,次六,月闕其摶不如開明于西,月闕其摶明始退也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),La luna mengua de su plenitud; no iguala a la claridad que se abre en el poniente.,La luna mengua: la luz empieza a retirarse.
1,中,Centro,7,次七,酋酋火魁頤水包貞,酋酋之包任臣則也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Maduro y pleno, el gran cucharón; la boca nutre, el agua envuelve, y hay rectitud. [verso oscuro]",Ese envolver maduro: encomendar a los ministros es la norma.
1,中,Centro,8,次八,黃不黃覆秋常,黃不黃失中德也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),Amarillo y no amarillo; trastorna el otoño. [verso oscuro],"El corazón que vuelve, cerrado: el centro no es indulgente."
1,中,Centro,9,上九,顛靈氣形反,顛靈之反時不克也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),En la cima el numen; aliento y forma se invierten.,La inversión del numen en la cima: el momento no da fruto.
2,周,Círculo Completo,0,首辭,陽氣周神而反乎始物繼其彙,,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),El aliento yang rodea al numen y vuelve al comienzo; los seres continúan según su especie.,
2,周,Círculo Completo,1,初一,還於天心何德之僭否,還心之否中不恕也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),Retorno al corazón del Cielo: ¿qué virtud osaría usurparlo? No.,El «no» del corazón que retorna: el centro no es indulgente.
2,周,Círculo Completo,2,次二,植中樞周無隅,植中樞立督慮也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),Se planta el eje central; el círculo no tiene esquinas.,Plantar el eje central: se establece la vigilancia y la previsión.
2,周,Círculo Completo,3,次三,出我入我吉凶之魁,出我入我不可不懼也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Sale de mí, entra en mí: es el jefe de la fortuna y del infortunio.",Sale de mí y entra en mí: no cabe sino el temor.
2,周,Círculo Completo,4,次四,帶其鉤鞶錘以玉鐶,帶其鉤鞶自約束也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Ciñe su hebilla y su faja, lastradas con un anillo de jade.",Ceñir hebilla y faja: se impone a sí mismo la mesura.
2,周,Círculo Completo,5,次五,土中其廬設于金輿厥戒渝,廬金戒渝小人不克也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"En medio de la tierra, su choza; asentada sobre un carro de metal: su cautela flaquea.","Choza sobre metal, cautela que flaquea: el hombre pequeño no puede con ello."
2,周,Círculo Completo,6,次六,信周其誠上亨于天,信周其誠上通也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),La confianza rodea su sinceridad y asciende en comunión con el Cielo.,La confianza que rodea su sinceridad: penetra hasta lo alto.
2,周,Círculo Completo,7,次七,豐淫見其朋還于蒙不克從,豐淫見朋不能從也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Desbordamiento y exceso muestran a los suyos; al volver a la tiniebla, no logra seguirlos.",Exceso que muestra a los suyos: no puede seguirlos.
2,周,Círculo Completo,8,次八,還遇躬外其禍不大,還遇躬外禍不中也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),Al volver lo encuentra; mantiene el cuerpo afuera: el daño no es grande.,Mantener el cuerpo afuera: el daño no da en el centro.
2,周,Círculo Completo,9,上九,還于喪或棄之行,還于喪其道窮也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),Retorno hacia la pérdida; alguno abandona la marcha.,Retorno hacia la pérdida: su camino se agota.
3,礥,Atascado,0,首辭,陽氣微動動而礥礥物生之難也,,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"El aliento yang se mueve apenas; al moverse, con dificultad: es lo arduo del nacer de los seres.",
