cabeza,glifo,pinyin,espanol,fase_zh,fase_es,hex_kingwen,hex_glifo,hex_es,termino_solar_zh,termino_solar_es,grado_inicio,grado_fin,evento_solar,fecha_solar_nylan,fecha_es,tercio,familia_yinyang,fang,zhou,bu,jia
1,中,Zhōng,Centro,水,Agua,61,中孚,La Verdad Interior,冬至,Solsticio de invierno,0,4.5,Solsticio de invierno (comienzo del ciclo),December 22 December 26 (a.m.),22 dic – 26 dic (a.m.),Cielo,yang,1,1,1,1
2,周,Zhōu,Círculo Completo,火,Fuego,24,復,El Retorno,冬至,Solsticio de invierno,4.5,9,,December 26 (p. m.) December 30,26 dic (p.m.) – 30 dic,Cielo,yin,1,1,1,2
3,礥,Xián,Atascado,木,Madera,3,屯,La Dificultad Inicial,小寒,Frío menor,9,13.5,,December 31 January 4 (a.m.),31 dic – 4 ene (a.m.),Cielo,yang,1,1,1,3
4,閑,Xián,Barrera,金,Metal,3,屯,La Dificultad Inicial,小寒,Frío menor,13.5,18,,January 4 (p. m.) January 8,4 ene (p.m.) – 8 ene,Cielo,yin,1,1,2,1
5,少,Shǎo,Guardar lo Pequeño,土,Tierra,15,謙,La Modestia,小寒,Frío menor,18,22.5,,January 9 January 13 (a.m.),9 ene – 13 ene (a.m.),Cielo,yang,1,1,2,2
6,戾,Lì,Contrariedad,水,Agua,38,睽,El Antagonismo,大寒,Frío mayor,22.5,27,,January 13 (p.m.) January 17,13 ene (p.m.) – 17 ene,Cielo,yin,1,1,2,3
7,上,Shàng,Ascenso,火,Fuego,46,升,La Subida,大寒,Frío mayor,27,31.5,,January 18 January 22 (a.m.),18 ene – 22 ene (a.m.),Cielo,yang,1,1,3,1
8,干,Gān,Oposición,木,Madera,46,升,La Subida,大寒,Frío mayor,31.5,36,,January 22 (p.m.) January 26,22 ene (p.m.) – 26 ene,Cielo,yin,1,1,3,2
9,羨,Xiàn,Ramificación,金,Metal,19,臨,El Acercamiento,立春,Inicio de la primavera,36,40.5,,January 27 January 31 (a.m.),27 ene – 31 ene (a.m.),Cielo,yang,1,1,3,3
10,羡,Xiàn,Defecto / Distorsión,水,Agua,19,臨,El Acercamiento,立春,Inicio de la primavera,40.5,45,,January 31 (p. m.) February 4,31 ene (p.m.) – 4 feb,Cielo,yin,1,2,1,1
11,差,Chā,Divergencia,火,Fuego,62,小過,La Preponderancia de lo Pequeño,立春,Inicio de la primavera,45,49.5,,February 5—February 9 (a.m.),5 feb – 9 feb (a.m.),Cielo,yang,1,2,1,2
12,童,Tóng,Juventud,木,Madera,4,蒙,La Necedad Juvenil,立春,Inicio de la primavera,49.5,54,,February 9 (p.m) February 13,9 feb (p.m.) – 13 feb,Cielo,yin,1,2,1,3
13,増,Zēng,Aumento,金,Metal,42,益,El Aumento,雨水,Agua de lluvia,54,58.5,,February 14 February 18 (a. m.),14 feb – 18 feb (a.m.),Cielo,yang,1,2,2,1
14,銳,Ruì,Penetración,土,Tierra,53,漸,El Progreso Paulatino,雨水,Agua de lluvia,58.5,63,,February 18 (p.m.) February 22,18 feb (p.m.) – 22 feb,Cielo,yin,1,2,2,2
15,達,Dá,Alcance,水,Agua,11,泰,La Paz,雨水,Agua de lluvia,63,67.5,,February 23 February 27 (a.m.),23 feb – 27 feb (a.m.),Cielo,yang,1,2,2,3
16,交,Jiāo,Contacto,火,Fuego,11,泰,La Paz,驚蟄,Despertar de los insectos,67.5,72,,February 27 (p.m.) Mar 3,27 feb (p.m.) – 3 mar,Cielo,yin,1,2,3,1
17,䎡,Ruǎn,Contención,木,Madera,5,需,La Espera,驚蟄,Despertar de los insectos,72,76.5,,March 4 March 8 (a.m.),4 mar – 8 mar (a.m.),Cielo,yang,1,2,3,2
18,傒,Xī,Espera,金,Metal,5,需,La Espera,驚蟄,Despertar de los insectos,76.5,81,,March 8 (p.m.) March 12,8 mar (p.m.) – 12 mar,Cielo,yin,1,2,3,3
19,從,Cóng,Seguimiento,水,Agua,17,隨,El Seguimiento,驚蟄,Despertar de los insectos,81,85.5,,March 13 March 17 (a.m.),13 mar – 17 mar (a.m.),Cielo,yang,1,3,1,1
20,進,Jìn,Avance,火,Fuego,35,晉,El Progreso,春分,Equinoccio de primavera,85.5,90,,March 17 (p.m.) March 21,17 mar (p.m.) – 21 mar,Cielo,yin,1,3,1,2
21,釋,Shì,Liberación,木,Madera,40,解,La Liberación,春分,Equinoccio de primavera,90,94.5,Equinoccio de primavera (zona),March 22 March 26 (a.m.),22 mar – 26 mar (a.m.),Cielo,yang,1,3,1,3
22,格,Gé,Resistencia,金,Metal,34,大壯,El Poder de lo Grande,春分,Equinoccio de primavera,94.5,99,,March 26 (p.m.) March 30,26 mar (p.m.) – 30 mar,Cielo,yin,1,3,2,1
23,夷,Yí,Holgura,土,Tierra,16,豫,El Entusiasmo,清明,Claridad pura,99,103.5,,March 31 April 4 (a.m.),31 mar – 4 abr (a.m.),Cielo,yang,1,3,2,2
24,樂,Lè,Gozo,水,Agua,16,豫,El Entusiasmo,清明,Claridad pura,103.5,108,,April 4 (p.m.) April 8,4 abr (p.m.) – 8 abr,Cielo,yin,1,3,2,3
25,爭,Zhēng,Disputa,火,Fuego,6,訟,El Conflicto,清明,Claridad pura,108,112.5,,April 9 April 13 (a.m.),9 abr – 13 abr (a.m.),Cielo,yang,1,3,3,1
26,務,Wù,Empeño,木,Madera,18,蠱,El Trabajo en lo Echado a Perder,穀雨,Lluvia de granos,112.5,117,,April 13 (p.m.) April 17,13 abr (p.m.) – 17 abr,Cielo,yin,1,3,3,2
27,事,Shì,Deberes,金,Metal,18,蠱,El Trabajo en lo Echado a Perder,穀雨,Lluvia de granos,117,121.5,,April 18 April 22 (a.m.),18 abr – 22 abr (a.m.),Cielo,yang,1,3,3,3
28,更,Gèng,Cambio,水,Agua,49,革,La Revolución,穀雨,Lluvia de granos,121.5,126,,April 22 (p.m.) April 26,22 abr (p.m.) – 26 abr,Tierra,yin,2,1,1,1
